Interactor	Evidence_description	PMID,,,,,,,,
AT1G04100	yeast two-hybrid assay	21734647,25566309,,,,,,,
AT1G04240	yeast two-hybrid assay	21734647,25566309,,,,,,,
AT1G04250	Co-crystal Structure,PCA,Reconstituted Complex,yeast two-hybrid assay	21734647,25512488,25566309,,,
AT1G04550	PCA,Reconstituted Complex,yeast two-hybrid assay	12101120,14973283,21734647,22096563,22349732,24710426,25566309
AT1G15050	PCA,yeast two-hybrid assay	21734647,25566309,,,,,,
AT1G15580	yeast two-hybrid assay	21734647,25566309,,,,,,,
AT1G19850	Co-crystal Structure,FRET,PCA,Reconstituted Complex	21734647,24485461,24710426,25512488,,
AT1G31880	Reconstituted Complex	21149702,,,,,,,,
AT1G34310	PCA	22096563,,,,,,,,
AT1G51950	yeast two-hybrid assay	21734647,25566309,,,,,,,
AT1G52830	PCA,yeast two-hybrid assay	14729917,22096563,25566309,,,,,
AT1G80390	yeast two-hybrid assay	21734647,25566309,,,,,,,
AT2G01200	yeast two-hybrid assay	21734647,25566309,,,,,,,
AT2G22670	PCA,yeast two-hybrid assay	21734647,22912871,23483289,25566309,,,,
AT2G33310	PCA,yeast two-hybrid assay	14729917,21734647,22096563,25566309,,,,
AT2G46990	yeast two-hybrid assay	21734647,25566309,,,,,,,
AT3G04730	yeast two-hybrid assay	21734647,25566309,,,,,,,
AT3G15540	Affinity Capture-Western,FRET,PCA,fluorescence resonance energy transfer (FRET),yeast two-hybrid assay	14729917,16854942,21734647,22096563,25566309
AT3G16500	yeast two-hybrid assay	25566309,,,,,,,,
AT3G17600	yeast two-hybrid assay	21734647,25566309,,,,,,,
AT3G23030	yeast two-hybrid assay	21734647,25566309,,,,,,,
AT3G23050	yeast two-hybrid assay	21734647,25566309,,,,,,,
AT3G61830	PCA	22096563,,,,,,,,
AT3G62100	yeast two-hybrid assay	21734647,25566309,,,,,,,
AT4G01370	Biochemical Activity	19095804,,,,,,,,
AT4G11330	Biochemical Activity	19095804,,,,,,,,
AT4G14550	yeast two-hybrid assay	21734647,25566309,,,,,,,
AT4G14560	PCA,yeast two-hybrid assay	14729917,21734647,22096563,25566309,,,,
AT4G23980	PCA	22096563,,,,,,,,
AT4G28640	yeast two-hybrid assay	21734647,25566309,,,,,,,
AT4G29080	yeast two-hybrid assay	21734647,25566309,,,,,,,
AT4G32280	yeast two-hybrid assay	21734647,25566309,,,,,,,
AT5G20730	FRET,fluorescence resonance energy transfer (FRET),yeast two-hybrid assay	14973283,16854942,,,,,
AT5G25890	PCA,yeast two-hybrid assay	21734647,22096563,25566309,,,,,
AT5G43700	yeast two-hybrid assay	21734647,25566309,,,,,,,
AT5G57420	yeast two-hybrid assay	21734647,25566309,,,,,,,
AT5G65670	PCA,yeast two-hybrid assay	22096563,25566309,,,,,,
