Term	Gene	Chr	Start	End	Factor	Desc	Title	Class
GSM1184662	AT1G19850	Chr1	6876593	6905749	ERF115	35S::ERF115-HBH; suspension cells	ERF115-HBH ChIP output	TF	ChIP-seq
GSM2130906	AT1G19850	Chr1	6878730	6885195	FBH3	EtOH mock treatment for 4 hours	AT1G51140_FBH3_EtOH_ChIP_rep1	TF	ChIP-seq
GSM1142624	AT1G19850	Chr1	6879627	6887832	SEP3	Inflorescences of 4 day-old pAP1::AP1-GR ap1 cal plants with anti-SEP3 antibody	SEP3 ChIP-seq 4d biological reps 1 and 2	TF	ChIP-seq
GSM940585	AT1G19850	Chr1	6879669	6893859	PI	PI-GFP AP1-GR ap1 cal	PI-GFP (AP1-GR ap1 cal) ChIPseq	TF	ChIP-seq
GSM2074756	AT1G19850	Chr1	6879772	6887354	RPL	Inflorescence apices of rpl-1 mutant transformed with genomic contruct expressing a fusion between RPL and GFP	RPL-GFP_chipseq_rep3	TF	ChIP-seq
GSM2130967	AT1G19850	Chr1	6880274	6887385	HB7	10 uM abscisic acid for 4 hours	AT2G46680_HB7_ABA_ChIP_rep3	TF	ChIP-seq
GSM2130963	AT1G19850	Chr1	6880281	6887325	HB7	10 uM abscisic acid for 4 hours	AT2G46680_HB7_ABA_ChIP_rep1	TF	ChIP-seq
GSM2130901	AT1G19850	Chr1	6880347	6887355	HAT22	10 uM abscisic acid for 4 hours	AT4G37790_HAT22_ABA_ChIP_rep2	TF	ChIP-seq
GSM2130970	AT1G19850	Chr1	6880352	6885430	ABF4	EtOH mock treatment for 4 hours	AT3G19290_ABF4_EtOH_ChIP_rep1	TF	ChIP-seq
GSM2130903	AT1G19850	Chr1	6880376	6887382	HAT22	10 uM abscisic acid for 4 hours	AT4G37790_HAT22_ABA_ChIP_rep3	TF	ChIP-seq
GSM2130973	AT1G19850	Chr1	6880405	6885448	ABF4	10 uM abscisic acid for 4 hours	AT3G19290_ABF4_ABA_ChIP_rep3	TF	ChIP-seq
GSM2130972	AT1G19850	Chr1	6880429	6885428	ABF4	EtOH mock treatment for 4 hours	AT3G19290_ABF4_EtOH_ChIP_rep2	TF	ChIP-seq
GSM2130971	AT1G19850	Chr1	6880464	6885499	ABF4	10 uM abscisic acid for 4 hours	AT3G19290_ABF4_ABA_ChIP_rep2	TF	ChIP-seq
GSM2130975	AT1G19850	Chr1	6880485	6887387	ABF3	10 uM abscisic acid for 4 hours	AT4G34000_ABF3_ABA_ChIP_rep1	TF	ChIP-seq
GSM2130976	AT1G19850	Chr1	6880489	6885378	ABF3	EtOH mock treatment for 4 hours	AT4G34000_ABF3_EtOH_ChIP_rep1	TF	ChIP-seq
GSM2130896	AT1G19850	Chr1	6880496	6885396	GBF2	EtOH mock treatment for 4 hours	AT4G01120_GBF2_EtOH_ChIP_rep2	TF	ChIP-seq
GSM1264686	AT1G19850	Chr1	6880511	6887677	BBM	2;4-D induced somatic embryos; pBBM::BBM-YFP	pBBM::BBM-YFP	TF	ChIP-seq
GSM2130978	AT1G19850	Chr1	6880516	6885347	ABF3	EtOH mock treatment for 4 hours	AT4G34000_ABF3_EtOH_ChIP_rep2	TF	ChIP-seq
GSM2130897	AT1G19850	Chr1	6880599	6885394	GBF2	10 uM abscisic acid for 4 hours	AT4G01120_GBF2_ABA_ChIP_rep3	TF	ChIP-seq
GSM1264688	AT1G19850	Chr1	6880632	6887709	BBM	2;4-D induced somatic embryos; pBBM::NLS-GFP	35S::BBM-GFP	TF	ChIP-seq
GSM2131013	AT1G19850	Chr1	6880650	6885286	DTAF2	10 uM dexamethasone; 6 hours	AT5G50360_DTAF2_Dex_6h_ChIP	TF	ChIP-seq
GSM2130867	AT1G19850	Chr1	6880666	6885498	ABF1	10 uM abscisic acid for 4 hours	AT1G49720_ABF1_ABA_ChIP_rep2	TF	ChIP-seq
GSM2287870	AT1G19850	Chr1	6880686	6887094	WRKY18	WRKY18-HA; 1 uM flg22 for 0 h	W18HA_0h_2 (ChIP-Seq)	TF	ChIP-seq
GSM2131012	AT1G19850	Chr1	6880712	6885063	DTAF1	10 uM dexamethasone; 6 hours	AT3G45810_DTAF1_Dex_6h_ChIP	TF	ChIP-seq
GSM2130977	AT1G19850	Chr1	6880741	6887421	ABF3	10 uM abscisic acid for 4 hours	AT4G34000_ABF3_ABA_ChIP_rep2	TF	ChIP-seq
GSM2130969	AT1G19850	Chr1	6880742	6885474	ABF4	10 uM abscisic acid for 4 hours	AT3G19290_ABF4_ABA_ChIP_rep1	TF	ChIP-seq
GSM2130980	AT1G19850	Chr1	6880782	6885444	ABF3	EtOH mock treatment for 4 hours	AT4G34000_ABF3_EtOH_ChIP_rep3	TF	ChIP-seq
GSM1291193	AT1G19850	Chr1	6880784	6906148	E2Fa	35S::E2Fa-HBH; suspension cells with Ni2+-NTA and streptavidin-sepharose antibody	 E2Fa-HBH TChAP output; replicate 2	TF	ChIP-seq
GSM2130935	AT1G19850	Chr1	6880812	6885180	MYB44	10 uM abscisic acid for 4 hours	AT5G67300_MYB44_ABA_ChIP_rep1	TF	ChIP-seq
GSM2130979	AT1G19850	Chr1	6880821	6885510	ABF3	10 uM abscisic acid for 4 hours	AT4G34000_ABF3_ABA_ChIP_rep3	TF	ChIP-seq
GSM2130939	AT1G19850	Chr1	6880824	6885187	MYB44	10 uM abscisic acid for 4 hours	AT5G67300_MYB44_ABA_ChIP_rep3	TF	ChIP-seq
GSM2130927	AT1G19850	Chr1	6880839	6887474	RD26	10 uM abscisic acid for 4 hours	AT4G27410_RD26_ABA_ChIP_rep3	TF	ChIP-seq
GSM2130893	AT1G19850	Chr1	6880848	6885435	GBF2	10 uM abscisic acid for 4 hours	AT4G01120_GBF2_ABA_ChIP_rep1	TF	ChIP-seq
GSM2130894	AT1G19850	Chr1	6880849	6885376	GBF2	EtOH mock treatment for 4 hours	AT4G01120_GBF2_EtOH_ChIP_rep1	TF	ChIP-seq
GSM2130937	AT1G19850	Chr1	6880866	6885193	MYB44	10 uM abscisic acid for 4 hours	AT5G67300_MYB44_ABA_ChIP_rep2	TF	ChIP-seq
GSM2130895	AT1G19850	Chr1	6880871	6885444	GBF2	10 uM abscisic acid for 4 hours	AT4G01120_GBF2_ABA_ChIP_rep2	TF	ChIP-seq
GSM1566964	AT1G19850	Chr1	6880879	6885305	LEAFY/LFY	p35S:LFY; 15 day-old seedlings	p35S:LFY; rep1	TF	ChIP-seq
GSM2130898	AT1G19850	Chr1	6880881	6885457	GBF2	EtOH mock treatment for 4 hours	AT4G01120_GBF2_EtOH_ChIP_rep3	TF	ChIP-seq
GSM2130926	AT1G19850	Chr1	6880884	6885386	RD26	EtOH mock treatment for 4 hours	AT4G27410_RD26_EtOH_ChIP_rep2	TF	ChIP-seq
GSM2130865	AT1G19850	Chr1	6880888	6885451	ABF1	10 uM abscisic acid for 4 hours	AT1G49720_ABF1_ABA_ChIP_rep1	TF	ChIP-seq
GSM2130874	AT1G19850	Chr1	6880909	6885439	GBF3	EtOH mock treatment for 4 hours	AT2G46270_GBF3_EtOH_ChIP_rep2	TF	ChIP-seq
GSM1383847	AT1G19850	Chr1	6880912	6885399	SPCH	SPCHp:SPCH2-4A-MYC in spch3; 4-day-old light grown seedlings	SPCH ChIP-Seq	TF	ChIP-seq
